seq,id,ra,dec,mag,tile,euclid_vis_png,euclid_nisp_png
127,275440,149.966946,1.893366,18.42,101542817,sn_jwst_only_0127_euclid_vis.png,sn_jwst_only_0127_euclid_nisp.png
128,275519,150.017572,1.874561,20.04,101541377,sn_jwst_only_0128_euclid_vis.png,sn_jwst_only_0128_euclid_nisp.png
129,277084,150.020541,1.885750,20.45,101541377,sn_jwst_only_0129_euclid_vis.png,sn_jwst_only_0129_euclid_nisp.png
130,288855,149.989541,1.986919,21.90,101542817,sn_jwst_only_0130_euclid_vis.png,sn_jwst_only_0130_euclid_nisp.png
131,291440,150.094278,1.970539,19.62,101542817,sn_jwst_only_0131_euclid_vis.png,sn_jwst_only_0131_euclid_nisp.png
132,291539,150.039965,1.991617,20.60,101542817,sn_jwst_only_0132_euclid_vis.png,sn_jwst_only_0132_euclid_nisp.png
133,292616,150.053260,1.994833,20.92,101542817,sn_jwst_only_0133_euclid_vis.png,sn_jwst_only_0133_euclid_nisp.png
134,292884,150.036217,2.002925,19.59,101542817,sn_jwst_only_0134_euclid_vis.png,sn_jwst_only_0134_euclid_nisp.png
135,293308,150.004011,2.017756,21.17,101542817,sn_jwst_only_0135_euclid_vis.png,sn_jwst_only_0135_euclid_nisp.png
136,293613,150.098491,1.985768,20.82,101542817,sn_jwst_only_0136_euclid_vis.png,sn_jwst_only_0136_euclid_nisp.png
137,293645,150.083191,1.989418,19.27,101542817,sn_jwst_only_0137_euclid_vis.png,sn_jwst_only_0137_euclid_nisp.png
138,293987,150.087817,1.992291,20.26,101542817,sn_jwst_only_0138_euclid_vis.png,sn_jwst_only_0138_euclid_nisp.png
139,317281,150.132920,1.845882,20.57,101541377,sn_jwst_only_0139_euclid_vis.png,sn_jwst_only_0139_euclid_nisp.png
140,317742,150.158100,1.839017,20.74,101541377,sn_jwst_only_0140_euclid_vis.png,sn_jwst_only_0140_euclid_nisp.png
141,317744,150.160236,1.835707,20.50,101541377,sn_jwst_only_0141_euclid_vis.png,sn_jwst_only_0141_euclid_nisp.png
142,321569,150.152057,1.872348,20.32,101541377,sn_jwst_only_0142_euclid_vis.png,sn_jwst_only_0142_euclid_nisp.png
143,322556,150.119727,1.893739,20.07,101542817,sn_jwst_only_0143_euclid_vis.png,sn_jwst_only_0143_euclid_nisp.png
144,323410,150.126269,1.898419,20.75,101542817,sn_jwst_only_0144_euclid_vis.png,sn_jwst_only_0144_euclid_nisp.png
145,323412,150.126558,1.898264,21.31,101542817,sn_jwst_only_0145_euclid_vis.png,sn_jwst_only_0145_euclid_nisp.png
146,325322,150.137849,1.911276,22.29,101542817,sn_jwst_only_0146_euclid_vis.png,sn_jwst_only_0146_euclid_nisp.png
147,325490,150.198542,1.890583,20.67,101541378,sn_jwst_only_0147_euclid_vis.png,sn_jwst_only_0147_euclid_nisp.png
148,329084,150.171520,1.926338,19.06,101542817,sn_jwst_only_0148_euclid_vis.png,sn_jwst_only_0148_euclid_nisp.png
149,329356,150.138918,1.940621,19.93,101542817,sn_jwst_only_0149_euclid_vis.png,sn_jwst_only_0149_euclid_nisp.png
150,332935,150.151305,1.965886,23.14,101542817,sn_jwst_only_0150_euclid_vis.png,sn_jwst_only_0150_euclid_nisp.png
151,333046,150.228054,1.938872,23.47,101542818,sn_jwst_only_0151_euclid_vis.png,sn_jwst_only_0151_euclid_nisp.png
152,333048,150.228890,1.938617,21.17,101542818,sn_jwst_only_0152_euclid_vis.png,sn_jwst_only_0152_euclid_nisp.png
153,334255,150.232883,1.942772,20.63,101542818,sn_jwst_only_0153_euclid_vis.png,sn_jwst_only_0153_euclid_nisp.png
154,334339,150.231058,1.924256,19.57,101542818,sn_jwst_only_0154_euclid_vis.png,sn_jwst_only_0154_euclid_nisp.png
155,335879,150.227056,1.962407,21.67,101542818,sn_jwst_only_0155_euclid_vis.png,sn_jwst_only_0155_euclid_nisp.png
156,336823,150.171723,1.990369,20.48,101542817,sn_jwst_only_0156_euclid_vis.png,sn_jwst_only_0156_euclid_nisp.png
157,355355,150.277295,1.795981,20.19,101541378,sn_jwst_only_0157_euclid_vis.png,sn_jwst_only_0157_euclid_nisp.png
158,355430,150.258580,1.802747,22.01,101541378,sn_jwst_only_0158_euclid_vis.png,sn_jwst_only_0158_euclid_nisp.png
159,355552,150.243237,1.810013,21.33,101541378,sn_jwst_only_0159_euclid_vis.png,sn_jwst_only_0159_euclid_nisp.png
160,360721,150.273048,1.840258,18.54,101541378,sn_jwst_only_0160_euclid_vis.png,sn_jwst_only_0160_euclid_nisp.png
161,369347,150.281388,1.911407,20.18,101542818,sn_jwst_only_0161_euclid_vis.png,sn_jwst_only_0161_euclid_nisp.png
162,372250,150.335809,1.915481,22.96,101542818,sn_jwst_only_0162_euclid_vis.png,sn_jwst_only_0162_euclid_nisp.png
163,372501,150.327339,1.920569,21.09,101542818,sn_jwst_only_0163_euclid_vis.png,sn_jwst_only_0163_euclid_nisp.png
164,373550,150.302351,1.939524,21.12,101542818,sn_jwst_only_0164_euclid_vis.png,sn_jwst_only_0164_euclid_nisp.png
165,386203,149.926269,2.499143,22.98,101545696,sn_jwst_only_0165_euclid_vis.png,sn_jwst_only_0165_euclid_nisp.png
166,386421,149.938440,2.496948,21.72,101545696,sn_jwst_only_0166_euclid_vis.png,sn_jwst_only_0166_euclid_nisp.png
167,389118,149.915330,2.521990,21.04,101545696,sn_jwst_only_0167_euclid_vis.png,sn_jwst_only_0167_euclid_nisp.png
168,389550,149.943438,2.514596,21.08,101545696,sn_jwst_only_0168_euclid_vis.png,sn_jwst_only_0168_euclid_nisp.png
169,390224,149.994106,2.501763,19.32,101545696,sn_jwst_only_0169_euclid_vis.png,sn_jwst_only_0169_euclid_nisp.png
170,391524,149.930151,2.532943,20.51,101545696,sn_jwst_only_0170_euclid_vis.png,sn_jwst_only_0170_euclid_nisp.png
171,392500,149.929960,2.540390,18.93,101545696,sn_jwst_only_0171_euclid_vis.png,sn_jwst_only_0171_euclid_nisp.png
172,394470,149.918472,2.558088,19.74,101545696,sn_jwst_only_0172_euclid_vis.png,sn_jwst_only_0172_euclid_nisp.png
173,395083,149.959952,2.547138,22.48,101545696,sn_jwst_only_0173_euclid_vis.png,sn_jwst_only_0173_euclid_nisp.png
174,397922,149.966246,2.566290,20.73,101545696,sn_jwst_only_0174_euclid_vis.png,sn_jwst_only_0174_euclid_nisp.png
175,399901,149.975531,2.578774,19.96,101545696,sn_jwst_only_0175_euclid_vis.png,sn_jwst_only_0175_euclid_nisp.png
176,400081,149.992888,2.574096,21.77,101545696,sn_jwst_only_0176_euclid_vis.png,sn_jwst_only_0176_euclid_nisp.png
177,401995,149.938453,2.606951,22.41,101545696,sn_jwst_only_0177_euclid_vis.png,sn_jwst_only_0177_euclid_nisp.png
178,404146,150.026257,2.591297,18.91,101545697,sn_jwst_only_0178_euclid_vis.png,sn_jwst_only_0178_euclid_nisp.png
179,404349,149.946945,2.619686,20.33,101545696,sn_jwst_only_0179_euclid_vis.png,sn_jwst_only_0179_euclid_nisp.png
180,404350,149.948792,2.619279,19.36,101545696,sn_jwst_only_0180_euclid_vis.png,sn_jwst_only_0180_euclid_nisp.png
181,423868,150.106975,2.429147,20.62,101545697,sn_jwst_only_0181_euclid_vis.png,sn_jwst_only_0181_euclid_nisp.png
182,424094,150.055806,2.449603,21.19,101545697,sn_jwst_only_0182_euclid_vis.png,sn_jwst_only_0182_euclid_nisp.png
183,424193,150.073225,2.444165,19.39,101545697,sn_jwst_only_0183_euclid_vis.png,sn_jwst_only_0183_euclid_nisp.png
184,424778,149.998030,2.475632,21.19,101545696,sn_jwst_only_0184_euclid_vis.png,sn_jwst_only_0184_euclid_nisp.png
185,425096,150.105508,2.439000,20.08,101545697,sn_jwst_only_0185_euclid_vis.png,sn_jwst_only_0185_euclid_nisp.png
186,425110,150.035857,2.464603,22.27,101545697,sn_jwst_only_0186_euclid_vis.png,sn_jwst_only_0186_euclid_nisp.png
187,427431,150.100179,2.457386,20.89,101545697,sn_jwst_only_0187_euclid_vis.png,sn_jwst_only_0187_euclid_nisp.png
188,427433,150.100930,2.456697,21.10,101545697,sn_jwst_only_0188_euclid_vis.png,sn_jwst_only_0188_euclid_nisp.png
189,429673,150.123107,2.467733,21.44,101545697,sn_jwst_only_0189_euclid_vis.png,sn_jwst_only_0189_euclid_nisp.png
190,434327,150.029981,2.535658,19.87,101545697,sn_jwst_only_0190_euclid_vis.png,sn_jwst_only_0190_euclid_nisp.png
191,434341,150.030630,2.535728,21.19,101545697,sn_jwst_only_0191_euclid_vis.png,sn_jwst_only_0191_euclid_nisp.png
192,435831,150.059453,2.536150,21.73,101545697,sn_jwst_only_0192_euclid_vis.png,sn_jwst_only_0192_euclid_nisp.png
193,437873,150.031981,2.560814,19.58,101545697,sn_jwst_only_0193_euclid_vis.png,sn_jwst_only_0193_euclid_nisp.png
194,437875,150.030356,2.559343,20.20,101545697,sn_jwst_only_0194_euclid_vis.png,sn_jwst_only_0194_euclid_nisp.png
195,440011,150.166571,2.524043,20.63,101545697,sn_jwst_only_0195_euclid_vis.png,sn_jwst_only_0195_euclid_nisp.png
196,441585,150.063202,2.574269,23.33,101545697,sn_jwst_only_0196_euclid_vis.png,sn_jwst_only_0196_euclid_nisp.png
197,441744,150.114990,2.556822,20.35,101545697,sn_jwst_only_0197_euclid_vis.png,sn_jwst_only_0197_euclid_nisp.png
198,443249,150.083028,2.577178,21.12,101545697,sn_jwst_only_0198_euclid_vis.png,sn_jwst_only_0198_euclid_nisp.png
199,443279,150.054235,2.588833,18.16,101545697,sn_jwst_only_0199_euclid_vis.png,sn_jwst_only_0199_euclid_nisp.png
200,443884,150.167834,2.553716,21.14,101545697,sn_jwst_only_0200_euclid_vis.png,sn_jwst_only_0200_euclid_nisp.png
201,443980,150.131126,2.567535,22.04,101545697,sn_jwst_only_0201_euclid_vis.png,sn_jwst_only_0201_euclid_nisp.png
202,444683,150.138752,2.569960,21.05,101545697,sn_jwst_only_0202_euclid_vis.png,sn_jwst_only_0202_euclid_nisp.png
203,464966,150.220797,2.401221,19.89,101545697,sn_jwst_only_0203_euclid_vis.png,sn_jwst_only_0203_euclid_nisp.png
204,467083,150.146967,2.442634,19.71,101545697,sn_jwst_only_0204_euclid_vis.png,sn_jwst_only_0204_euclid_nisp.png
205,467930,150.149647,2.447727,23.24,101545697,sn_jwst_only_0205_euclid_vis.png,sn_jwst_only_0205_euclid_nisp.png
206,468187,150.200989,2.431910,19.09,101545697,sn_jwst_only_0206_euclid_vis.png,sn_jwst_only_0206_euclid_nisp.png
207,468972,150.202070,2.437751,20.79,101545697,sn_jwst_only_0207_euclid_vis.png,sn_jwst_only_0207_euclid_nisp.png
208,469108,150.259022,2.417847,20.29,101545698,sn_jwst_only_0208_euclid_vis.png,sn_jwst_only_0208_euclid_nisp.png
209,469817,150.270684,2.416911,18.01,101545698,sn_jwst_only_0209_euclid_vis.png,sn_jwst_only_0209_euclid_nisp.png
210,470402,150.274963,2.420260,17.44,101545698,sn_jwst_only_0210_euclid_vis.png,sn_jwst_only_0210_euclid_nisp.png
211,470653,150.262479,2.428569,22.42,101545698,sn_jwst_only_0211_euclid_vis.png,sn_jwst_only_0211_euclid_nisp.png
