seq,id,ra,dec,mag,tile,jwst1_png,jwst2_png
25,45717,149.991755,2.107331,20.67,A2,sn_jwst_only_0025_jwst1.png,sn_jwst_only_0025_jwst2.png
26,48498,149.924223,2.149829,18.61,A2,sn_jwst_only_0026_jwst1.png,sn_jwst_only_0026_jwst2.png
27,49773,149.893100,2.169540,20.66,A1,sn_jwst_only_0027_jwst1.png,sn_jwst_only_0027_jwst2.png
28,50288,149.908901,2.149720,19.02,A2,sn_jwst_only_0028_jwst1.png,sn_jwst_only_0028_jwst2.png
29,50292,149.910537,2.153938,19.36,A2,sn_jwst_only_0029_jwst1.png,sn_jwst_only_0029_jwst2.png
30,51183,149.994076,2.145350,22.29,A2,sn_jwst_only_0030_jwst1.png,sn_jwst_only_0030_jwst2.png
31,52513,149.987779,2.157597,18.50,A2,sn_jwst_only_0031_jwst1.png,sn_jwst_only_0031_jwst2.png
32,52677,149.996798,2.154511,19.63,A2,sn_jwst_only_0032_jwst1.png,sn_jwst_only_0032_jwst2.png
33,54510,149.957835,2.183000,20.88,A2,sn_jwst_only_0033_jwst1.png,sn_jwst_only_0033_jwst2.png
34,55483,149.956118,2.188564,22.94,A2,sn_jwst_only_0034_jwst1.png,sn_jwst_only_0034_jwst2.png
35,58185,149.963837,2.202605,19.00,A2,sn_jwst_only_0035_jwst1.png,sn_jwst_only_0035_jwst2.png
36,58672,149.930346,2.218254,18.43,A2,sn_jwst_only_0036_jwst1.png,sn_jwst_only_0036_jwst2.png
37,61404,149.970039,2.222339,19.27,A2,sn_jwst_only_0037_jwst1.png,sn_jwst_only_0037_jwst2.png
38,61688,150.024315,2.203172,22.40,A2,sn_jwst_only_0038_jwst1.png,sn_jwst_only_0038_jwst2.png
39,62423,150.045965,2.201119,21.84,A2,sn_jwst_only_0039_jwst1.png,sn_jwst_only_0039_jwst2.png
40,63115,149.921500,2.250145,22.49,A1,sn_jwst_only_0040_jwst1.png,sn_jwst_only_0040_jwst2.png
41,63918,149.959961,2.239606,18.92,A2,sn_jwst_only_0041_jwst1.png,sn_jwst_only_0041_jwst2.png
42,63922,149.964132,2.230732,19.22,A2,sn_jwst_only_0042_jwst1.png,sn_jwst_only_0042_jwst2.png
43,63925,149.959131,2.240993,20.32,A2,sn_jwst_only_0043_jwst1.png,sn_jwst_only_0043_jwst2.png
44,64344,150.049612,2.211724,20.46,A2,sn_jwst_only_0044_jwst1.png,sn_jwst_only_0044_jwst2.png
45,65518,150.050125,2.217411,20.26,A2,sn_jwst_only_0045_jwst1.png,sn_jwst_only_0045_jwst2.png
46,65520,150.048868,2.213840,20.13,A2,sn_jwst_only_0046_jwst1.png,sn_jwst_only_0046_jwst2.png
47,65892,150.044410,2.223917,19.64,A2,sn_jwst_only_0047_jwst1.png,sn_jwst_only_0047_jwst2.png
48,66507,149.948658,2.262269,22.17,A2,sn_jwst_only_0048_jwst1.png,sn_jwst_only_0048_jwst2.png
49,78238,150.023822,2.045081,19.97,A3,sn_jwst_only_0049_jwst1.png,sn_jwst_only_0049_jwst2.png
50,78585,150.126149,2.010856,18.31,A3,sn_jwst_only_0050_jwst1.png,sn_jwst_only_0050_jwst2.png
51,79893,150.077345,2.036914,23.22,A3,sn_jwst_only_0051_jwst1.png,sn_jwst_only_0051_jwst2.png
52,81991,150.132887,2.027950,21.89,A3,sn_jwst_only_0052_jwst1.png,sn_jwst_only_0052_jwst2.png
53,85722,150.072381,2.081361,19.58,A3,sn_jwst_only_0053_jwst1.png,sn_jwst_only_0053_jwst2.png
54,85920,150.075543,2.081209,20.41,A3,sn_jwst_only_0054_jwst1.png,sn_jwst_only_0054_jwst2.png
55,86809,150.148388,2.060638,21.55,A3,sn_jwst_only_0055_jwst1.png,sn_jwst_only_0055_jwst2.png
56,88349,150.135389,2.076441,21.97,A3,sn_jwst_only_0056_jwst1.png,sn_jwst_only_0056_jwst2.png
57,88781,150.103265,2.091908,21.62,A3,sn_jwst_only_0057_jwst1.png,sn_jwst_only_0057_jwst2.png
58,88968,150.149532,2.076133,18.57,A3,sn_jwst_only_0058_jwst1.png,sn_jwst_only_0058_jwst2.png
59,90408,150.122499,2.097915,21.56,A3,sn_jwst_only_0059_jwst1.png,sn_jwst_only_0059_jwst2.png
60,91824,150.087276,2.121066,19.32,A3,sn_jwst_only_0060_jwst1.png,sn_jwst_only_0060_jwst2.png
61,91871,150.106582,2.114409,19.26,A3,sn_jwst_only_0061_jwst1.png,sn_jwst_only_0061_jwst2.png
62,93667,150.133684,2.117311,20.56,A3,sn_jwst_only_0062_jwst1.png,sn_jwst_only_0062_jwst2.png
63,94205,150.074696,2.128554,20.38,A3,sn_jwst_only_0063_jwst1.png,sn_jwst_only_0063_jwst2.png
64,95029,150.134395,2.125196,19.74,A3,sn_jwst_only_0064_jwst1.png,sn_jwst_only_0064_jwst2.png
65,95412,150.058836,2.155164,21.50,A3,sn_jwst_only_0065_jwst1.png,sn_jwst_only_0065_jwst2.png
66,96873,150.051248,2.166318,20.36,A2,sn_jwst_only_0066_jwst1.png,sn_jwst_only_0066_jwst2.png
67,98542,150.165587,2.133494,21.04,A3,sn_jwst_only_0067_jwst1.png,sn_jwst_only_0067_jwst2.png
68,98544,150.166287,2.135136,20.46,A3,sn_jwst_only_0068_jwst1.png,sn_jwst_only_0068_jwst2.png
69,99660,150.123514,2.149793,20.78,A3,sn_jwst_only_0069_jwst1.png,sn_jwst_only_0069_jwst2.png
70,103231,150.055229,2.205794,21.12,A2,sn_jwst_only_0070_jwst1.png,sn_jwst_only_0070_jwst2.png
71,103357,150.057542,2.205458,21.38,A2,sn_jwst_only_0071_jwst1.png,sn_jwst_only_0071_jwst2.png
72,105075,150.106314,2.200257,22.39,A3,sn_jwst_only_0072_jwst1.png,sn_jwst_only_0072_jwst2.png
73,105317,150.093102,2.204235,21.70,A3,sn_jwst_only_0073_jwst1.png,sn_jwst_only_0073_jwst2.png
74,105741,150.092621,2.209736,22.46,A3,sn_jwst_only_0074_jwst1.png,sn_jwst_only_0074_jwst2.png
75,117983,150.188838,1.984619,19.42,A4,sn_jwst_only_0075_jwst1.png,sn_jwst_only_0075_jwst2.png
76,118899,150.193011,1.990955,20.43,A4,sn_jwst_only_0076_jwst1.png,sn_jwst_only_0076_jwst2.png
77,119884,150.197529,1.985719,18.70,A4,sn_jwst_only_0077_jwst1.png,sn_jwst_only_0077_jwst2.png
78,123125,150.273859,1.991845,19.93,A4,sn_jwst_only_0078_jwst1.png,sn_jwst_only_0078_jwst2.png
79,123956,150.183023,2.029010,18.48,A4,sn_jwst_only_0079_jwst1.png,sn_jwst_only_0079_jwst2.png
80,125023,150.274916,1.995361,18.93,A4,sn_jwst_only_0080_jwst1.png,sn_jwst_only_0080_jwst2.png
81,125041,150.175008,2.041448,19.94,A4,sn_jwst_only_0081_jwst1.png,sn_jwst_only_0081_jwst2.png
82,127851,150.280564,2.021276,21.37,A4,sn_jwst_only_0082_jwst1.png,sn_jwst_only_0082_jwst2.png
83,130441,150.219022,2.056642,21.72,A4,sn_jwst_only_0083_jwst1.png,sn_jwst_only_0083_jwst2.png
84,130735,150.238531,2.053922,21.68,A4,sn_jwst_only_0084_jwst1.png,sn_jwst_only_0084_jwst2.png
85,130856,150.196076,2.071002,20.49,A4,sn_jwst_only_0085_jwst1.png,sn_jwst_only_0085_jwst2.png
86,131452,150.211444,2.069101,18.41,A4,sn_jwst_only_0086_jwst1.png,sn_jwst_only_0086_jwst2.png
87,131453,150.212630,2.065657,20.27,A4,sn_jwst_only_0087_jwst1.png,sn_jwst_only_0087_jwst2.png
88,132285,150.299048,2.043214,21.62,A4,sn_jwst_only_0088_jwst1.png,sn_jwst_only_0088_jwst2.png
89,135514,150.179666,2.107821,20.41,A3,sn_jwst_only_0089_jwst1.png,sn_jwst_only_0089_jwst2.png
90,135921,150.268221,2.076242,20.93,A4,sn_jwst_only_0090_jwst1.png,sn_jwst_only_0090_jwst2.png
91,137269,150.182129,2.112961,20.91,A3,sn_jwst_only_0091_jwst1.png,sn_jwst_only_0091_jwst2.png
92,137273,150.184048,2.116540,19.20,A3,sn_jwst_only_0092_jwst1.png,sn_jwst_only_0092_jwst2.png
93,139345,150.203598,2.124671,20.60,A4,sn_jwst_only_0093_jwst1.png,sn_jwst_only_0093_jwst2.png
94,142008,150.323508,2.100413,20.42,A4,sn_jwst_only_0094_jwst1.png,sn_jwst_only_0094_jwst2.png
95,157183,150.348908,1.927358,18.48,A10,sn_jwst_only_0095_jwst1.png,sn_jwst_only_0095_jwst2.png
96,157585,150.311626,1.942327,21.96,A5,sn_jwst_only_0096_jwst1.png,sn_jwst_only_0096_jwst2.png
97,160236,150.349662,1.948305,21.73,A5,sn_jwst_only_0097_jwst1.png,sn_jwst_only_0097_jwst2.png
98,163584,150.357060,1.973211,20.55,A5,sn_jwst_only_0098_jwst1.png,sn_jwst_only_0098_jwst2.png
99,165783,150.360793,1.984707,22.87,A5,sn_jwst_only_0099_jwst1.png,sn_jwst_only_0099_jwst2.png
100,166635,150.320673,2.011372,21.21,A5,sn_jwst_only_0100_jwst1.png,sn_jwst_only_0100_jwst2.png
101,167347,150.370110,1.999966,20.82,A5,sn_jwst_only_0101_jwst1.png,sn_jwst_only_0101_jwst2.png
102,167348,150.369974,2.000433,20.80,A5,sn_jwst_only_0102_jwst1.png,sn_jwst_only_0102_jwst2.png
103,170786,150.359201,2.037520,20.31,A5,sn_jwst_only_0103_jwst1.png,sn_jwst_only_0103_jwst2.png
104,174724,150.341695,2.074867,18.46,A5,sn_jwst_only_0104_jwst1.png,sn_jwst_only_0104_jwst2.png
105,175220,150.389548,2.061363,19.60,A5,sn_jwst_only_0105_jwst1.png,sn_jwst_only_0105_jwst2.png
106,175713,150.396034,2.063681,20.19,A5,sn_jwst_only_0106_jwst1.png,sn_jwst_only_0106_jwst2.png
107,175715,150.396960,2.064137,20.94,A5,sn_jwst_only_0107_jwst1.png,sn_jwst_only_0107_jwst2.png
108,176366,150.329646,2.094596,19.37,A4,sn_jwst_only_0108_jwst1.png,sn_jwst_only_0108_jwst2.png
109,195512,149.800125,1.967048,20.73,A6,sn_jwst_only_0109_jwst1.png,sn_jwst_only_0109_jwst2.png
110,196977,149.801503,1.978167,19.88,A6,sn_jwst_only_0110_jwst1.png,sn_jwst_only_0110_jwst2.png
111,203833,149.751394,2.044732,19.98,A6,sn_jwst_only_0111_jwst1.png,sn_jwst_only_0111_jwst2.png
112,205473,149.776093,2.047677,22.00,A6,sn_jwst_only_0112_jwst1.png,sn_jwst_only_0112_jwst2.png
113,234989,149.830908,1.944130,19.64,A7,sn_jwst_only_0113_jwst1.png,sn_jwst_only_0113_jwst2.png
114,236292,149.901103,1.927848,21.11,A7,sn_jwst_only_0114_jwst1.png,sn_jwst_only_0114_jwst2.png
115,237340,149.834801,1.960175,20.19,A7,sn_jwst_only_0115_jwst1.png,sn_jwst_only_0115_jwst2.png
116,238579,149.865340,1.957760,21.80,A7,sn_jwst_only_0116_jwst1.png,sn_jwst_only_0116_jwst2.png
117,239413,149.895534,1.950892,21.10,A7,sn_jwst_only_0117_jwst1.png,sn_jwst_only_0117_jwst2.png
118,246533,149.897377,2.000811,19.46,A7,sn_jwst_only_0118_jwst1.png,sn_jwst_only_0118_jwst2.png
119,249645,149.864359,2.035590,18.67,A7,sn_jwst_only_0119_jwst1.png,sn_jwst_only_0119_jwst2.png
120,251425,149.867403,2.047126,19.03,A7,sn_jwst_only_0120_jwst1.png,sn_jwst_only_0120_jwst2.png
121,251681,149.878494,2.031969,19.92,A7,sn_jwst_only_0121_jwst1.png,sn_jwst_only_0121_jwst2.png
122,252120,149.888383,2.044082,18.92,A7,sn_jwst_only_0122_jwst1.png,sn_jwst_only_0122_jwst2.png
123,253237,149.970172,2.020650,20.90,A7,sn_jwst_only_0123_jwst1.png,sn_jwst_only_0123_jwst2.png
124,254183,149.959994,2.032411,21.18,A7,sn_jwst_only_0124_jwst1.png,sn_jwst_only_0124_jwst2.png
125,256578,149.913076,2.064707,22.22,A7,sn_jwst_only_0125_jwst1.png,sn_jwst_only_0125_jwst2.png
126,257173,149.877296,2.082577,20.01,A7,sn_jwst_only_0126_jwst1.png,sn_jwst_only_0126_jwst2.png
127,275440,149.966946,1.893366,18.42,A8,sn_jwst_only_0127_jwst1.png,sn_jwst_only_0127_jwst2.png
128,275519,150.017572,1.874561,20.04,A8,sn_jwst_only_0128_jwst1.png,sn_jwst_only_0128_jwst2.png
129,277084,150.020541,1.885750,20.45,A8,sn_jwst_only_0129_jwst1.png,sn_jwst_only_0129_jwst2.png
130,288855,149.989541,1.986919,21.90,A8,sn_jwst_only_0130_jwst1.png,sn_jwst_only_0130_jwst2.png
131,291440,150.094278,1.970539,19.62,A8,sn_jwst_only_0131_jwst1.png,sn_jwst_only_0131_jwst2.png
132,291539,150.039965,1.991617,20.60,A8,sn_jwst_only_0132_jwst1.png,sn_jwst_only_0132_jwst2.png
133,292616,150.053260,1.994833,20.92,A8,sn_jwst_only_0133_jwst1.png,sn_jwst_only_0133_jwst2.png
134,292884,150.036217,2.002925,19.59,A8,sn_jwst_only_0134_jwst1.png,sn_jwst_only_0134_jwst2.png
135,293308,150.004011,2.017756,21.17,A8,sn_jwst_only_0135_jwst1.png,sn_jwst_only_0135_jwst2.png
136,293613,150.098491,1.985768,20.82,A8,sn_jwst_only_0136_jwst1.png,sn_jwst_only_0136_jwst2.png
137,293645,150.083191,1.989418,19.27,A8,sn_jwst_only_0137_jwst1.png,sn_jwst_only_0137_jwst2.png
138,293987,150.087817,1.992291,20.26,A8,sn_jwst_only_0138_jwst1.png,sn_jwst_only_0138_jwst2.png
139,317281,150.132920,1.845882,20.57,A9,sn_jwst_only_0139_jwst1.png,sn_jwst_only_0139_jwst2.png
140,317742,150.158100,1.839017,20.74,A9,sn_jwst_only_0140_jwst1.png,sn_jwst_only_0140_jwst2.png
141,317744,150.160236,1.835707,20.50,A9,sn_jwst_only_0141_jwst1.png,sn_jwst_only_0141_jwst2.png
142,321569,150.152057,1.872348,20.32,A9,sn_jwst_only_0142_jwst1.png,sn_jwst_only_0142_jwst2.png
143,322556,150.119727,1.893739,20.07,A9,sn_jwst_only_0143_jwst1.png,sn_jwst_only_0143_jwst2.png
144,323410,150.126269,1.898419,20.75,A9,sn_jwst_only_0144_jwst1.png,sn_jwst_only_0144_jwst2.png
145,323412,150.126558,1.898264,21.31,A9,sn_jwst_only_0145_jwst1.png,sn_jwst_only_0145_jwst2.png
146,325322,150.137849,1.911276,22.29,A9,sn_jwst_only_0146_jwst1.png,sn_jwst_only_0146_jwst2.png
147,325490,150.198542,1.890583,20.67,A9,sn_jwst_only_0147_jwst1.png,sn_jwst_only_0147_jwst2.png
148,329084,150.171520,1.926338,19.06,A9,sn_jwst_only_0148_jwst1.png,sn_jwst_only_0148_jwst2.png
149,329356,150.138918,1.940621,19.93,A9,sn_jwst_only_0149_jwst1.png,sn_jwst_only_0149_jwst2.png
150,332935,150.151305,1.965886,23.14,A9,sn_jwst_only_0150_jwst1.png,sn_jwst_only_0150_jwst2.png
151,333046,150.228054,1.938872,23.47,A9,sn_jwst_only_0151_jwst1.png,sn_jwst_only_0151_jwst2.png
152,333048,150.228890,1.938617,21.17,A9,sn_jwst_only_0152_jwst1.png,sn_jwst_only_0152_jwst2.png
153,334255,150.232883,1.942772,20.63,A9,sn_jwst_only_0153_jwst1.png,sn_jwst_only_0153_jwst2.png
154,334339,150.231058,1.924256,19.57,A9,sn_jwst_only_0154_jwst1.png,sn_jwst_only_0154_jwst2.png
155,335879,150.227056,1.962407,21.67,A4,sn_jwst_only_0155_jwst1.png,sn_jwst_only_0155_jwst2.png
156,336823,150.171723,1.990369,20.48,A4,sn_jwst_only_0156_jwst1.png,sn_jwst_only_0156_jwst2.png
157,355355,150.277295,1.795981,20.19,A10,sn_jwst_only_0157_jwst1.png,sn_jwst_only_0157_jwst2.png
158,355430,150.258580,1.802747,22.01,A10,sn_jwst_only_0158_jwst1.png,sn_jwst_only_0158_jwst2.png
159,355552,150.243237,1.810013,21.33,A10,sn_jwst_only_0159_jwst1.png,sn_jwst_only_0159_jwst2.png
160,360721,150.273048,1.840258,18.54,A10,sn_jwst_only_0160_jwst1.png,sn_jwst_only_0160_jwst2.png
161,369347,150.281388,1.911407,20.18,A10,sn_jwst_only_0161_jwst1.png,sn_jwst_only_0161_jwst2.png
162,372250,150.335809,1.915481,22.96,A10,sn_jwst_only_0162_jwst1.png,sn_jwst_only_0162_jwst2.png
163,372501,150.327339,1.920569,21.09,A10,sn_jwst_only_0163_jwst1.png,sn_jwst_only_0163_jwst2.png
164,373550,150.302351,1.939524,21.12,A10,sn_jwst_only_0164_jwst1.png,sn_jwst_only_0164_jwst2.png
165,386203,149.926269,2.499143,22.98,B1,sn_jwst_only_0165_jwst1.png,sn_jwst_only_0165_jwst2.png
166,386421,149.938440,2.496948,21.72,B1,sn_jwst_only_0166_jwst1.png,sn_jwst_only_0166_jwst2.png
167,389118,149.915330,2.521990,21.04,B1,sn_jwst_only_0167_jwst1.png,sn_jwst_only_0167_jwst2.png
168,389550,149.943438,2.514596,21.08,B1,sn_jwst_only_0168_jwst1.png,sn_jwst_only_0168_jwst2.png
169,390224,149.994106,2.501763,19.32,B1,sn_jwst_only_0169_jwst1.png,sn_jwst_only_0169_jwst2.png
170,391524,149.930151,2.532943,20.51,B1,sn_jwst_only_0170_jwst1.png,sn_jwst_only_0170_jwst2.png
171,392500,149.929960,2.540390,18.93,B1,sn_jwst_only_0171_jwst1.png,sn_jwst_only_0171_jwst2.png
172,394470,149.918472,2.558088,19.74,B1,sn_jwst_only_0172_jwst1.png,sn_jwst_only_0172_jwst2.png
173,395083,149.959952,2.547138,22.48,B1,sn_jwst_only_0173_jwst1.png,sn_jwst_only_0173_jwst2.png
174,397922,149.966246,2.566290,20.73,B1,sn_jwst_only_0174_jwst1.png,sn_jwst_only_0174_jwst2.png
175,399901,149.975531,2.578774,19.96,B1,sn_jwst_only_0175_jwst1.png,sn_jwst_only_0175_jwst2.png
176,400081,149.992888,2.574096,21.77,B1,sn_jwst_only_0176_jwst1.png,sn_jwst_only_0176_jwst2.png
177,401995,149.938453,2.606951,22.41,B1,sn_jwst_only_0177_jwst1.png,sn_jwst_only_0177_jwst2.png
178,404146,150.026257,2.591297,18.91,B1,sn_jwst_only_0178_jwst1.png,sn_jwst_only_0178_jwst2.png
179,404349,149.946945,2.619686,20.33,B1,sn_jwst_only_0179_jwst1.png,sn_jwst_only_0179_jwst2.png
180,404350,149.948792,2.619279,19.36,B1,sn_jwst_only_0180_jwst1.png,sn_jwst_only_0180_jwst2.png
181,423868,150.106975,2.429147,20.62,B2,sn_jwst_only_0181_jwst1.png,sn_jwst_only_0181_jwst2.png
182,424094,150.055806,2.449603,21.19,B2,sn_jwst_only_0182_jwst1.png,sn_jwst_only_0182_jwst2.png
183,424193,150.073225,2.444165,19.39,B2,sn_jwst_only_0183_jwst1.png,sn_jwst_only_0183_jwst2.png
184,424778,149.998030,2.475632,21.19,B1,sn_jwst_only_0184_jwst1.png,sn_jwst_only_0184_jwst2.png
185,425096,150.105508,2.439000,20.08,B2,sn_jwst_only_0185_jwst1.png,sn_jwst_only_0185_jwst2.png
186,425110,150.035857,2.464603,22.27,B2,sn_jwst_only_0186_jwst1.png,sn_jwst_only_0186_jwst2.png
187,427431,150.100179,2.457386,20.89,B2,sn_jwst_only_0187_jwst1.png,sn_jwst_only_0187_jwst2.png
188,427433,150.100930,2.456697,21.10,B2,sn_jwst_only_0188_jwst1.png,sn_jwst_only_0188_jwst2.png
189,429673,150.123107,2.467733,21.44,B2,sn_jwst_only_0189_jwst1.png,sn_jwst_only_0189_jwst2.png
190,434327,150.029981,2.535658,19.87,B1,sn_jwst_only_0190_jwst1.png,sn_jwst_only_0190_jwst2.png
191,434341,150.030630,2.535728,21.19,B1,sn_jwst_only_0191_jwst1.png,sn_jwst_only_0191_jwst2.png
192,435831,150.059453,2.536150,21.73,B2,sn_jwst_only_0192_jwst1.png,sn_jwst_only_0192_jwst2.png
193,437873,150.031981,2.560814,19.58,B1,sn_jwst_only_0193_jwst1.png,sn_jwst_only_0193_jwst2.png
194,437875,150.030356,2.559343,20.20,B1,sn_jwst_only_0194_jwst1.png,sn_jwst_only_0194_jwst2.png
195,440011,150.166571,2.524043,20.63,B2,sn_jwst_only_0195_jwst1.png,sn_jwst_only_0195_jwst2.png
196,441585,150.063202,2.574269,23.33,B2,sn_jwst_only_0196_jwst1.png,sn_jwst_only_0196_jwst2.png
197,441744,150.114990,2.556822,20.35,B2,sn_jwst_only_0197_jwst1.png,sn_jwst_only_0197_jwst2.png
198,443249,150.083028,2.577178,21.12,B2,sn_jwst_only_0198_jwst1.png,sn_jwst_only_0198_jwst2.png
199,443279,150.054235,2.588833,18.16,B2,sn_jwst_only_0199_jwst1.png,sn_jwst_only_0199_jwst2.png
200,443884,150.167834,2.553716,21.14,B2,sn_jwst_only_0200_jwst1.png,sn_jwst_only_0200_jwst2.png
201,443980,150.131126,2.567535,22.04,B2,sn_jwst_only_0201_jwst1.png,sn_jwst_only_0201_jwst2.png
202,444683,150.138752,2.569960,21.05,B2,sn_jwst_only_0202_jwst1.png,sn_jwst_only_0202_jwst2.png
203,464966,150.220797,2.401221,19.89,B3,sn_jwst_only_0203_jwst1.png,sn_jwst_only_0203_jwst2.png
204,467083,150.146967,2.442634,19.71,B2,sn_jwst_only_0204_jwst1.png,sn_jwst_only_0204_jwst2.png
205,467930,150.149647,2.447727,23.24,B2,sn_jwst_only_0205_jwst1.png,sn_jwst_only_0205_jwst2.png
206,468187,150.200989,2.431910,19.09,B3,sn_jwst_only_0206_jwst1.png,sn_jwst_only_0206_jwst2.png
207,468972,150.202070,2.437751,20.79,B3,sn_jwst_only_0207_jwst1.png,sn_jwst_only_0207_jwst2.png
208,469108,150.259022,2.417847,20.29,B3,sn_jwst_only_0208_jwst1.png,sn_jwst_only_0208_jwst2.png
209,469817,150.270684,2.416911,18.01,B3,sn_jwst_only_0209_jwst1.png,sn_jwst_only_0209_jwst2.png
210,470402,150.274963,2.420260,17.44,B3,sn_jwst_only_0210_jwst1.png,sn_jwst_only_0210_jwst2.png
211,470653,150.262479,2.428569,22.42,B3,sn_jwst_only_0211_jwst1.png,sn_jwst_only_0211_jwst2.png
212,472455,150.169630,2.473517,20.44,B3,sn_jwst_only_0212_jwst1.png,sn_jwst_only_0212_jwst2.png
213,474707,150.214165,2.475006,22.29,B3,sn_jwst_only_0213_jwst1.png,sn_jwst_only_0213_jwst2.png
214,475080,150.184663,2.488616,21.19,B3,sn_jwst_only_0214_jwst1.png,sn_jwst_only_0214_jwst2.png
215,475222,150.289163,2.451773,20.33,B3,sn_jwst_only_0215_jwst1.png,sn_jwst_only_0215_jwst2.png
216,475370,150.219578,2.477979,18.69,B3,sn_jwst_only_0216_jwst1.png,sn_jwst_only_0216_jwst2.png
217,475475,150.263918,2.456218,20.13,B3,sn_jwst_only_0217_jwst1.png,sn_jwst_only_0217_jwst2.png
218,476066,150.233648,2.476079,18.07,B3,sn_jwst_only_0218_jwst1.png,sn_jwst_only_0218_jwst2.png
219,476177,150.199714,2.490582,21.11,B3,sn_jwst_only_0219_jwst1.png,sn_jwst_only_0219_jwst2.png
220,477702,150.266349,2.478473,21.03,B3,sn_jwst_only_0220_jwst1.png,sn_jwst_only_0220_jwst2.png
221,477703,150.265164,2.478708,20.20,B3,sn_jwst_only_0221_jwst1.png,sn_jwst_only_0221_jwst2.png
222,479581,150.289077,2.473047,19.64,B3,sn_jwst_only_0222_jwst1.png,sn_jwst_only_0222_jwst2.png
223,479583,150.275591,2.476679,20.66,B3,sn_jwst_only_0223_jwst1.png,sn_jwst_only_0223_jwst2.png
224,482016,150.247954,2.512770,20.40,B3,sn_jwst_only_0224_jwst1.png,sn_jwst_only_0224_jwst2.png
225,482987,150.274283,2.511370,19.53,B3,sn_jwst_only_0225_jwst1.png,sn_jwst_only_0225_jwst2.png
226,483067,150.201594,2.539156,20.86,B3,sn_jwst_only_0226_jwst1.png,sn_jwst_only_0226_jwst2.png
227,483329,150.219051,2.534634,20.46,B3,sn_jwst_only_0227_jwst1.png,sn_jwst_only_0227_jwst2.png
228,483455,150.271675,2.516577,20.47,B3,sn_jwst_only_0228_jwst1.png,sn_jwst_only_0228_jwst2.png
229,485138,150.201489,2.552660,21.43,B3,sn_jwst_only_0229_jwst1.png,sn_jwst_only_0229_jwst2.png
230,506810,150.391733,2.361026,19.66,B4,sn_jwst_only_0230_jwst1.png,sn_jwst_only_0230_jwst2.png
231,507577,150.333067,2.387485,21.90,B4,sn_jwst_only_0231_jwst1.png,sn_jwst_only_0231_jwst2.png
232,508546,150.357997,2.384006,21.56,B4,sn_jwst_only_0232_jwst1.png,sn_jwst_only_0232_jwst2.png
