id,sn_ra,sn_dec,hst_tile,jwst_tile,euclid_tile,z,filt,sep_match,telescope,best_band,best_snr,composite_confidence,primary_id
2023aeai,150.1833500,2.2454583,065,B8,101544257,1.10,F115W,0.35,JWST,F115W,0,0,2023aeai
2023aebj,150.1049333,2.1812194,065,A3,101544257,1.10,F277W,0.99,JWST,F277W,0,0,2023aebj
2023adzs,150.1033167,2.3460278,077,B7,101544257,1.09,F115W,0.73,JWST,F115W,0,0,2023adzs
2023aeac,150.1400542,2.4058667,077,B3,101545697,1.01,F115W,0.59,JWST,F115W,0,0,2023aeac
2023aebc,150.0772458,2.2479278,065,B8,101544257,1.01,F115W,0.69,JWST,F115W,0,0,2023aebc
2023aebd,150.1275917,2.2131278,065,B8,101544257,1.01,F115W,0.78,JWST,F115W,0,0,2023aebd
2023aeba,150.0722833,2.2999250,077,B7,101544257,0.93,F277W,0.02,JWST,F277W,0,0,2023aeba
2023aeap,150.1215208,2.2670444,065,B8,101544257,0.85,F115W,0.50,JWST,F115W,0,0,2023aeap
2023adzc,150.1018875,2.4261333,077,B2,101545697,0.70,F115W,0.66,JWST,F115W,0,0,2023adzc
2023adzj,150.1754833,2.3714333,077,B8,101545697,0.68,F115W,0.71,JWST,F115W,0,0,2023adzj
2023aeat,150.1371333,2.3173861,,,,0.67,F150W,2.5(nomatch),JWST,F150W,0,0,2023aeat
2023adyz,150.1713833,2.4731917,089,B3,101545697,0.65,F115W,0.18,JWST,F115W,0,0,2023adyz
2023adzm,150.1844208,2.4136083,077,B3,101545697,0.60,F115W,0.02,JWST,F115W,0,0,2023adzm
2023aeaw,150.1188000,2.3243528,077,B8,101544257,0.59,F150W,1.18,JWST,F150W,0,0,2023aeaw
2023aebm,150.0728250,2.2368861,065,B8,101544257,0.59,F150W,0.02,JWST,F150W,0,0,2023aebm
2023aeao,150.1043583,2.2614861,065,B8,101544257,0.55,F115W,0.32,JWST,F115W,0,0,2023aeao
2023aeay,150.0738583,2.2622417,065,B7,101544257,0.55,F115W,0.10,JWST,F115W,0,0,2023aeay
2023adzz,150.1129750,2.3781167,077,B7,101545697,0.54,F115W,0.63,JWST,F115W,0,0,2023adzz
2023aeah,150.1974167,2.3008333,,,,0.53,F115W,4.1(nomatch),JWST,F115W,0,0,2023aeah
2023adzd,150.1205458,2.4630333,089,B2,101545697,0.49,F115W,0.01,JWST,F115W,0,0,2023adzd
2023aeau,150.1526542,2.3217528,077,B8,101544257,0.48,F115W,0.00,JWST,F115W,0,0,2023aeau
2023aebg,150.1093875,2.2239278,065,B8,101544257,0.41,F115W,0.03,JWST,F115W,0,0,2023aebg
2023adzr,150.1151000,2.3439028,077,B8,101544257,0.39,F150W,0.01,JWST,F150W,0,0,2023adzr
2023adzh,150.1124875,2.4320500,077,B2,101545697,0.30,F150W,0.06,JWST,F150W,0,0,2023adzh
2023adzg,150.1194625,2.4565500,,,,0.30,F115W,2.9(nomatch),JWST,F115W,0,0,2023adzg
2023adza,150.1188208,2.4573417,077,B2,101545697,0.30,F115W,0.07,JWST,F115W,0,0,2023adza
2023adzb,150.1198458,2.4578167,,,,0.26,F115W,3.7(nomatch),JWST,F115W,0,0,2023adzb
2023aeaz,150.0734833,2.2927028,,,,0.25,F150W,2.2(nomatch),JWST,F150W,0,0,2023aeaz
2023adzf,150.1167917,2.4723500,089,B2,101545697,0.17,F150W,0.05,JWST,F150W,0,0,2023adzf
2023aear,150.1225708,2.2861194,,,,0.11,F115W,3.0(nomatch),JWST,F115W,0,0,2023aear
2023adzu,150.1377000,2.3502667,077,B8,101544257,0.06,F150W,0.04,JWST,F150W,0,0,2023adzu
2023aeae,150.1529125,2.3497167,077,B8,101544257,0.06,F115W,1.82,JWST,F115W,0,0,2023aeae
2023aead,150.1542083,2.3437861,077,B8,101544257,0.06,F150W,0.04,JWST,F150W,0,0,2023aead
2023adzk,150.1733333,2.4042667,077,B3,101545697,0.03,F150W,0.87,JWST,F150W,0,0,2023adzk
2023adzl,150.1715708,2.3299500,077,B8,101544257,0.01,F150W,0.37,JWST,F150W,0,0,2023adzl
2023adzv,150.1202958,2.3509944,,,,0.01,F150W,5.9(nomatch),JWST,F150W,0,0,2023adzv
2023aeaj,150.1779417,2.2498333,065,B8,101544257,0.01,F150W,0.04,JWST,F150W,0,0,2023aeaj
